q,d(q)
403,0.0741046
404,0.0741432
405,0.0741711
406,0.0741711
407,0.0741867
408,0.0742514
409,0.0742632
410,0.0743087
411,0.0743087
412,0.0743321
413,0.0743584
414,0.0743782
415,0.0744553
416,0.0744802
417,0.0744909
418,0.074491
419,0.0745418
420,0.0745516
421,0.0745548
422,0.0745595
423,0.0745598
424,0.0746684
425,0.0747214
426,0.0748869
427,0.0748944
428,0.0749123
429,0.0749162
430,0.0749527
431,0.0750266
432,0.0750605
433,0.0750783
434,0.075098
435,0.0751625
436,0.0752195
437,0.0752373
438,0.0753221
439,0.0753273
440,0.0753284
441,0.075336
442,0.0753396
443,0.075371
444,0.0753843
445,0.0753944
446,0.0754166
447,0.0754545
448,0.0755079
449,0.0755079
450,0.0755372
451,0.07557
452,0.0755932
453,0.0756182
454,0.0756715
455,0.0757141
456,0.0757176
457,0.075782
458,0.075827
459,0.0759612
460,0.0760375
461,0.0760578
462,0.0761002
463,0.076114
464,0.0761421
465,0.0761863
466,0.0762368
467,0.0762386
468,0.0763225
469,0.0763339
470,0.0763466
471,0.0763726
472,0.0763823
473,0.0764239
474,0.0764377
475,0.0764384
476,0.0764384
477,0.0764458
478,0.0765348
479,0.0765581
480,0.0765978
481,0.0766683
482,0.0766703
483,0.0767326
484,0.076738
485,0.0767582
486,0.0767583
487,0.0767714
488,0.0767745
489,0.0768255
490,0.0768328
491,0.0768428
492,0.0768555
493,0.0768927
494,0.0769235
495,0.0769235
496,0.0769319
497,0.077029
498,0.0770395
499,0.0770715
500,0.0771288
501,0.0771656
502,0.0771656
503,0.0771871
504,0.0772156
505,0.077245
506,0.0772685
507,0.0772976
508,0.0773023
509,0.0773742
510,0.077387
511,0.0774279
512,0.0774499
513,0.0775249
514,0.0775249
515,0.0775279
516,0.0775317
517,0.0775701
518,0.0775912
519,0.0776061
520,0.0776656
521,0.0776699
522,0.0776875
523,0.0777371
524,0.0778321
525,0.0778522
526,0.0778876
527,0.0778908
528,0.0778908
529,0.0779064
530,0.0779852
531,0.078112
532,0.0781175
533,0.0781195
